indicator,geo,sector,period,available_at,value,availability_basis,source_url,retrieved_at
construction,ES,construction,2025-07-01,2026-09-19,123.6,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2025-08-01,2026-09-19,119.2,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2025-09-01,2026-09-19,118.2,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2025-10-01,2026-09-19,121.3,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2025-11-01,2026-09-19,117.1,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2025-12-01,2026-09-19,114.1,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2026-01-01,2026-09-19,108.9,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2026-02-01,2026-09-19,109.8,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2026-03-01,2026-09-19,111.9,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2026-04-01,2026-09-19,112.5,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
